"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259","Validates that a given booking can be updated","Gradle suite","Thu Oct 02 22:00:20 UTC 2025","failed","Thu Oct 02 22:00:20 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateUpdatedBooking"
"","164","Validates that API is responding with Id's","Gradle suite","Thu Oct 02 22:00:19 UTC 2025","passed","Thu Oct 02 22:00:19 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingIds"
"","232","Validates that a booking can be deleted","Gradle suite","Thu Oct 02 22:00:20 UTC 2025","passed","Thu Oct 02 22:00:20 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateDeletedBooking"
"","705","Gets a booking by id","Gradle suite","Thu Oct 02 22:00:19 UTC 2025","passed","Thu Oct 02 22:00:19 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingById"
"","1233","Validates the response when trying to get a booking by invalid id","Gradle suite","Thu Oct 02 22:00:16 UTC 2025","passed","Thu Oct 02 22:00:17 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getBookingByIdRaw"
"","1397","Validates the response when trying to get a booking with a malformed endpoint","Gradle suite","Thu Oct 02 22:00:17 UTC 2025","passed","Thu Oct 02 22:00:19 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getMalformedEndpoint"
"POST API endpoint to create a booking","259","Validates that the API is creating a booking","Gradle suite","Thu Oct 02 22:00:19 UTC 2025","failed","Thu Oct 02 22:00:20 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateCreatedBooking"
"","140","Validates that the response code of the API is 200","Gradle suite","Thu Oct 02 22:00:20 UTC 2025","passed","Thu Oct 02 22:00:20 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateStatusCode"
