"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1637","Validates the response when trying to get a booking by invalid id","Gradle suite","Thu Oct 02 19:46:01 UTC 2025","passed","Thu Oct 02 19:46:02 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getBookingByIdRaw"
"","806","Gets a booking by id","Gradle suite","Thu Oct 02 19:46:04 UTC 2025","passed","Thu Oct 02 19:46:05 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingById"
"","285","Validates that a booking can be deleted","Gradle suite","Thu Oct 02 19:46:05 UTC 2025","passed","Thu Oct 02 19:46:06 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateDeletedBooking"
"","223","Validates that API is responding with Id's","Gradle suite","Thu Oct 02 19:46:05 UTC 2025","passed","Thu Oct 02 19:46:05 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingIds"
"","559","Validates that a given booking can be updated","Gradle suite","Thu Oct 02 19:46:06 UTC 2025","passed","Thu Oct 02 19:46:07 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateUpdatedBooking"
"","1608","Validates the response when trying to get a booking with a malformed endpoint","Gradle suite","Thu Oct 02 19:46:02 UTC 2025","passed","Thu Oct 02 19:46:04 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getMalformedEndpoint"
"","174","Validates that the response code of the API is 200","Gradle suite","Thu Oct 02 19:46:06 UTC 2025","passed","Thu Oct 02 19:46:06 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateStatusCode"
"POST API endpoint to create a booking","520","Validates that the API is creating a booking","Gradle suite","Thu Oct 02 19:46:05 UTC 2025","passed","Thu Oct 02 19:46:05 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateCreatedBooking"
