"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49","Validates that the response code of the API is 200","Gradle suite","Thu Oct 02 22:05:54 UTC 2025","passed","Thu Oct 02 22:05:54 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateStatusCode"
"","1226","Validates the response when trying to get a booking with a malformed endpoint","Gradle suite","Thu Oct 02 22:05:52 UTC 2025","passed","Thu Oct 02 22:05:53 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getMalformedEndpoint"
"","118","Validates that a booking can be deleted","Gradle suite","Thu Oct 02 22:05:54 UTC 2025","passed","Thu Oct 02 22:05:54 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateDeletedBooking"
"","80","Validates that API is responding with Id's","Gradle suite","Thu Oct 02 22:05:54 UTC 2025","passed","Thu Oct 02 22:05:54 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingIds"
"","243","Validates that a given booking can be updated","Gradle suite","Thu Oct 02 22:05:54 UTC 2025","passed","Thu Oct 02 22:05:54 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateUpdatedBooking"
"POST API endpoint to create a booking","325","Validates that the API is creating a booking","Gradle suite","Thu Oct 02 22:05:54 UTC 2025","passed","Thu Oct 02 22:05:54 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateCreatedBooking"
"","1229","Validates the response when trying to get a booking by invalid id","Gradle suite","Thu Oct 02 22:05:51 UTC 2025","passed","Thu Oct 02 22:05:52 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getBookingByIdRaw"
"","472","Gets a booking by id","Gradle suite","Thu Oct 02 22:05:53 UTC 2025","passed","Thu Oct 02 22:05:54 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingById"
