"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1221","Validates the response when trying to get a booking by invalid id","Gradle suite","Thu Oct 02 21:49:24 UTC 2025","passed","Thu Oct 02 21:49:25 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getBookingByIdRaw"
"POST API endpoint to create a booking","203","Validates that the API is creating a booking","Gradle suite","Thu Oct 02 21:49:27 UTC 2025","failed","Thu Oct 02 21:49:27 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateCreatedBooking"
"","636","Gets a booking by id","Gradle suite","Thu Oct 02 21:49:26 UTC 2025","passed","Thu Oct 02 21:49:27 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingById"
"","101","Validates that the response code of the API is 200","Gradle suite","Thu Oct 02 21:49:28 UTC 2025","passed","Thu Oct 02 21:49:28 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateStatusCode"
"","1326","Validates the response when trying to get a booking with a malformed endpoint","Gradle suite","Thu Oct 02 21:49:25 UTC 2025","passed","Thu Oct 02 21:49:26 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getMalformedEndpoint"
"","196","Validates that a given booking can be updated","Gradle suite","Thu Oct 02 21:49:28 UTC 2025","failed","Thu Oct 02 21:49:28 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateUpdatedBooking"
"","144","Validates that API is responding with Id's","Gradle suite","Thu Oct 02 21:49:27 UTC 2025","passed","Thu Oct 02 21:49:27 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingIds"
"","240","Validates that a booking can be deleted","Gradle suite","Thu Oct 02 21:49:27 UTC 2025","passed","Thu Oct 02 21:49:28 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateDeletedBooking"
