"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1423","Validates the response when trying to get a booking with a malformed endpoint","Gradle suite","Thu Oct 02 19:03:38 UTC 2025","passed","Thu Oct 02 19:03:39 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getMalformedEndpoint"
"","168","Validates that API is responding with Id's","Gradle suite","Thu Oct 02 19:03:40 UTC 2025","passed","Thu Oct 02 19:03:40 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingIds"
"","262","Validates that a given booking can be updated","Gradle suite","Thu Oct 02 19:03:41 UTC 2025","failed","Thu Oct 02 19:03:41 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateUpdatedBooking"
"","255","Validates that a booking can be deleted","Gradle suite","Thu Oct 02 19:03:41 UTC 2025","passed","Thu Oct 02 19:03:41 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateDeletedBooking"
"","1398","Validates the response when trying to get a booking by invalid id","Gradle suite","Thu Oct 02 19:03:37 UTC 2025","passed","Thu Oct 02 19:03:38 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getBookingByIdRaw"
"POST API endpoint to create a booking","270","Validates that the API is creating a booking","Gradle suite","Thu Oct 02 19:03:40 UTC 2025","failed","Thu Oct 02 19:03:41 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateCreatedBooking"
"","130","Validates that the response code of the API is 200","Gradle suite","Thu Oct 02 19:03:41 UTC 2025","passed","Thu Oct 02 19:03:41 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateStatusCode"
"","747","Gets a booking by id","Gradle suite","Thu Oct 02 19:03:39 UTC 2025","passed","Thu Oct 02 19:03:40 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingById"
