"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","134","Validates that API is responding with Id's","Gradle suite","Thu Oct 02 19:15:52 UTC 2025","passed","Thu Oct 02 19:15:52 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingIds"
"","690","Gets a booking by id","Gradle suite","Thu Oct 02 19:15:51 UTC 2025","passed","Thu Oct 02 19:15:52 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingById"
"","96","Validates that the response code of the API is 200","Gradle suite","Thu Oct 02 19:15:52 UTC 2025","passed","Thu Oct 02 19:15:52 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateStatusCode"
"","1345","Validates the response when trying to get a booking by invalid id","Gradle suite","Thu Oct 02 19:15:48 UTC 2025","passed","Thu Oct 02 19:15:50 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getBookingByIdRaw"
"","1361","Validates the response when trying to get a booking with a malformed endpoint","Gradle suite","Thu Oct 02 19:15:50 UTC 2025","passed","Thu Oct 02 19:15:51 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getMalformedEndpoint"
"","195","Validates that a booking can be deleted","Gradle suite","Thu Oct 02 19:15:52 UTC 2025","passed","Thu Oct 02 19:15:52 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateDeletedBooking"
"POST API endpoint to create a booking","226","Validates that the API is creating a booking","Gradle suite","Thu Oct 02 19:15:52 UTC 2025","failed","Thu Oct 02 19:15:52 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateCreatedBooking"
"","214","Validates that a given booking can be updated","Gradle suite","Thu Oct 02 19:15:52 UTC 2025","failed","Thu Oct 02 19:15:53 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateUpdatedBooking"
