"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"POST API endpoint to create a booking","797","Validates that the API is creating a booking","Gradle suite","Fri Oct 03 21:54:29 UTC 2025","passed","Fri Oct 03 21:54:29 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateCreatedBooking"
"","787","Validates that a given booking can be updated","Gradle suite","Fri Oct 03 21:54:30 UTC 2025","passed","Fri Oct 03 21:54:31 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateUpdatedBooking"
"","294","Validates that API is responding with Id's","Gradle suite","Fri Oct 03 21:54:28 UTC 2025","passed","Fri Oct 03 21:54:29 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingIds"
"","1494","Validates the response when trying to get a booking by invalid id","Gradle suite","Fri Oct 03 21:54:24 UTC 2025","passed","Fri Oct 03 21:54:26 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getBookingByIdRaw"
"","1615","Validates the response when trying to get a booking with a malformed endpoint","Gradle suite","Fri Oct 03 21:54:26 UTC 2025","passed","Fri Oct 03 21:54:27 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getMalformedEndpoint"
"","967","Gets a booking by id","Gradle suite","Fri Oct 03 21:54:27 UTC 2025","passed","Fri Oct 03 21:54:28 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingById"
"","468","Validates that a booking can be deleted","Gradle suite","Fri Oct 03 21:54:29 UTC 2025","passed","Fri Oct 03 21:54:30 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateDeletedBooking"
"","297","Validates that the response code of the API is 200","Gradle suite","Fri Oct 03 21:54:30 UTC 2025","passed","Fri Oct 03 21:54:30 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateStatusCode"
