"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1588","Validates the response when trying to get a booking with a malformed endpoint","Gradle suite","Thu Oct 02 19:10:16 UTC 2025","passed","Thu Oct 02 19:10:18 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getMalformedEndpoint"
"","1018","Gets a booking by id","Gradle suite","Thu Oct 02 19:10:18 UTC 2025","passed","Thu Oct 02 19:10:19 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingById"
"","1592","Validates the response when trying to get a booking by invalid id","Gradle suite","Thu Oct 02 19:10:15 UTC 2025","passed","Thu Oct 02 19:10:16 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getBookingByIdRaw"
"","455","Validates that a booking can be deleted","Gradle suite","Thu Oct 02 19:10:20 UTC 2025","passed","Thu Oct 02 19:10:20 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateDeletedBooking"
"","466","Validates that a given booking can be updated","Gradle suite","Thu Oct 02 19:10:21 UTC 2025","failed","Thu Oct 02 19:10:21 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateUpdatedBooking"
"","279","Validates that the response code of the API is 200","Gradle suite","Thu Oct 02 19:10:20 UTC 2025","passed","Thu Oct 02 19:10:21 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateStatusCode"
"POST API endpoint to create a booking","467","Validates that the API is creating a booking","Gradle suite","Thu Oct 02 19:10:19 UTC 2025","failed","Thu Oct 02 19:10:20 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateCreatedBooking"
"","326","Validates that API is responding with Id's","Gradle suite","Thu Oct 02 19:10:19 UTC 2025","passed","Thu Oct 02 19:10:19 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingIds"
