"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1570","Validates the response when trying to get a booking by invalid id","Gradle suite","Fri Oct 03 22:12:24 UTC 2025","passed","Fri Oct 03 22:12:26 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getBookingByIdRaw"
"","1079","Gets a booking by id","Gradle suite","Fri Oct 03 22:12:27 UTC 2025","passed","Fri Oct 03 22:12:28 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingById"
"","1608","Validates the response when trying to get a booking with a malformed endpoint","Gradle suite","Fri Oct 03 22:12:26 UTC 2025","passed","Fri Oct 03 22:12:27 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","getMalformedEndpoint"
"","251","Validates that API is responding with Id's","Gradle suite","Fri Oct 03 22:12:28 UTC 2025","passed","Fri Oct 03 22:12:29 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateBookingIds"
"","769","Validates that a given booking can be updated","Gradle suite","Fri Oct 03 22:12:30 UTC 2025","passed","Fri Oct 03 22:12:31 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateUpdatedBooking"
"POST API endpoint to create a booking","792","Validates that the API is creating a booking","Gradle suite","Fri Oct 03 22:12:29 UTC 2025","passed","Fri Oct 03 22:12:30 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateCreatedBooking"
"","494","Validates that a booking can be deleted","Gradle suite","Fri Oct 03 22:12:30 UTC 2025","passed","Fri Oct 03 22:12:30 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateDeletedBooking"
"","250","Validates that the response code of the API is 200","Gradle suite","Fri Oct 03 22:12:30 UTC 2025","passed","Fri Oct 03 22:12:30 UTC 2025","com.lando.tests.booking.BookingTest","Gradle test","com.lando.tests.booking.BookingTest","validateStatusCode"
